cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
13,GH,1567227548,93,8.55,-0.52,71.69,3.02
0,RU,1567227548,31,45.45,41.98,60.8,6.71
0,CD,1567227526,36,-7.04,29.76,77.99,2.59
80,CN,1567226954,7,42.84,93.51,98.15,8.23
82,RU,1567227548,82,69.7,170.27,38.21,6.38
0,MG,1567227549,35,-25.17,45.06,78.17,2.84
1,US,1567227549,69,31.8,-97.09,80.6,3.36
90,RU,1567227549,100,64.29,41.92,46.4,6.71
100,RU,1567227549,58,70.62,147.9,38.57,4.05
75,NO,1567226952,87,63.83,10.7,60.01,9.17
23,RU,1567226976,57,60.71,114.91,65.39,3.38
98,RU,1567227550,75,57.23,59.33,46.49,6.73
1,US,1567227020,93,40.33,-91.2,64,7.63
0,AU,1567227003,34,-43.03,147.26,64.4,13.87
0,KZ,1567227550,34,45.32,55.19,63.05,7.27
0,KZ,1567226977,45,52.04,76.93,62.6,22.37
75,RU,1567227550,67,65.95,111.51,59,2.24
0,GY,1567227441,100,6.8,-58.16,75.2,3.38
0,ES,1567227551,73,38.3,-5.27,71.01,3.47
75,BN,1567227551,46,5.28,115.24,91.4,5.82
90,CA,1567227331,93,47.66,-52.73,66.99,14.99
0,UA,1567227551,33,45.9,28.68,72.23,7.7
1,US,1567226991,48,64.84,-147.72,64.4,4.32
75,JP,1567227552,69,34.51,131.49,82.4,13.87
75,AU,1567227552,55,-33.86,121.89,62.6,26.4
1,GL,1567227552,89,60.14,-45.24,41.09,2.51
68,GB,1567227026,93,60.4,-1.35,51.8,9.17
40,PT,1567227552,68,33.08,-16.33,71.6,10.29
0,CD,1567227526,36,-7.04,29.76,77.99,2.59
3,SD,1567227553,36,19.1,37.33,91.67,9.73
5,IT,1567227553,64,46.06,11.52,79,4.7
46,SD,1567227553,61,12.35,32.18,83.93,11.83
90,TH,1567227553,100,17.49,101.72,77,4.7
0,RU,1567227553,46,71.97,114.09,53.87,5.5
1,US,1567226969,87,39.95,-94.76,64.99,5.82
82,CK,1567227554,52,-21.21,-159.78,69.8,6.93
0,TZ,1567226986,28,-5.11,31.04,72.95,5.99
0,CL,1567227554,86,-25.41,-70.49,49.01,1.25
1,US,1567226971,64,44.91,-117.94,71.6,3.36
20,CA,1567227555,91,68.36,-133.71,39.2,4.7
0,CD,1567226972,36,-7.04,29.76,77.99,2.59
14,CD,1567227555,52,-3.41,29.14,62.69,3.65
75,JP,1567227555,45,35.55,133.23,86,12.75
48,ZA,1567227012,74,-34,24.73,50.09,16.35
92,RU,1567227556,82,65.4,64.7,48.65,9.82
0,CD,1567227526,36,-7.04,29.76,77.99,2.59
91,RU,1567227556,46,63.29,118.35,67.73,2.62
100,CN,1567227556,38,29.04,114.56,88.07,3.11
100,CD,1567227556,88,-1.93,18.29,73.67,3.4
8,MG,1567227557,63,-21.3,47.64,66.83,3.58
27,YE,1567227557,20,14.4,46.47,87.71,1.1
0,DE,1567227557,93,52.99,9.84,62.01,3.36
86,CN,1567227557,29,35.04,112.59,90.23,8.16
51,NG,1567227557,84,10.3,10.93,72.41,4.32
